configuration id, instance id, performance
10,60, 65.917
10,61, 24.337
10,62, 18.2187
10,63, 17.4674
10,64, 2.5741
10,65, 5.2497
10,66, 14.9281
10,67, 45.9987
10,68, 21.4758
10,69, 17.2419
10,70, 127.303
10,71, 19.6066
10,72, 8.1072
10,73, 17.4214
10,74, 8.5463
10,75, 5.9177
10,76, 5.6948
10,77, 3.0963
10,78, 136.773
10,79, 12.1578
10,80, 61.7976
10,81, 18.6755
10,82, 41.8218
10,83, 41.7741
10,84, 7.9216
10,85, 10.0735
10,86, 30.3959
10,87, 21.4514
10,88, 13.1325
10,89, 1.0673
10,90, 0.4091
10,91, 157.856
10,92, 58.9819
10,93, 203.222
10,94, 29.6657
10,95, 11.9224
10,96, 34.9368
10,97, 300.023
10,98, 32.3901
10,99, 9.5567
11,0, 169.499
11,1, 300.122
11,2, 300.034
11,3, 41.8686
11,4, 4.722
11,5, 300.09
11,6, 300.055
11,7, 300.076
11,8, 300.151
11,9, 300.138
11,10, 300.237
11,11, 42.4411
11,12, 300.099
11,13, 22.5643
11,14, 300.147
11,15, 300.101
11,16, 300.11
11,17, 300.109
11,18, 300.106
11,19, 300.102
11,20, 300.111
11,21, 300.084
11,22, 300.044
11,23, 160.157
11,24, 9.4562
11,25, 14.0015
11,26, 300.098
11,27, 58.5382
11,28, 77.7772
11,29, 300.085
11,30, 300.108
11,31, 300.105
11,32, 300.051
11,33, 300.109
11,34, 300.041
11,35, 300.109
11,36, 300.087
11,37, 12.8472
11,38, 17.1509
11,39, 9.3871
11,40, 81.2722
11,41, 300.099
11,42, 300.059
11,43, 300.107
11,44, 230.633
11,45, 225.336
11,46, 300.037
11,47, 300.109
11,48, 300.034
11,49, 300.039
11,50, 300.233
11,51, 300.074
11,52, 300.034
11,53, 128.716
11,54, 300.104
11,55, 287.09
11,56, 300.026
11,57, 300.028
11,58, 300.024
11,59, 300.066
11,60, 300.104
11,61, 300.084
11,62, 300.141
11,63, 300.108
11,64, 300.103
11,65, 49.936
11,66, 156.685
11,67, 300.108
11,68, 300.108
11,69, 47.5675
11,70, 300.327
11,71, 300.144
11,72, 56.9897
11,73, 300.093
11,74, 265.442
11,75, 34.3861
11,76, 118.81
11,77, 300.06
11,78, 300.097
11,79, 58.5659
11,80, 300.135
11,81, 300.106
11,82, 300.109
11,83, 300.107
11,84, 176.15
11,85, 300.096
11,86, 300.268
11,87, 300.044
11,88, 195.274
11,89, 7.5423
11,90, 0.8319
11,91, 300.274
11,92, 300.021
11,93, 300.101
11,94, 184.252
11,95, 112.48
11,96, 300.106
11,97, 300.034
11,98, 300.104
11,99, 300.094
12,0, 300.597
12,1, 300.576
12,2, 300.53
12,3, 197.359
12,4, 218.622
12,5, 300.566
12,6, 300.57
12,7, 300.589
12,8, 300.597
12,9, 300.555
12,10, 300.112
12,11, 300.041
12,12, 300.122
12,13, 300.129
12,14, 300.131
12,15, 300.117
12,16, 300.114
12,17, 300.122
12,18, 300.067
12,19, 300.113
12,20, 300.128
12,21, 300.127
12,22, 300.132
12,23, 300.133
12,24, 300.134
12,25, 300.131
12,26, 300.134
12,27, 300.108
12,28, 300.127
12,29, 300.122
12,30, 300.129
12,31, 300.109
12,32, 300.125
12,33, 300.147
12,34, 300.102
12,35, 300.144
12,36, 300.126
12,37, 300.142
12,38, 300.135
12,39, 300.123
12,40, 300.12
12,41, 300.131
12,42, 300.091
12,43, 300.085
